code	id	message
400	SCHEDULE_DATE_TOO_LATE	The date you tried to schedule is too far in the future (more than one year)
400	SCHEDULE_STATUS_PRIVATE	You cannot schedule a message until the person comes online if their privacy does not show this information
400	SCHEDULE_TOO_MUCH	You tried to schedule too many messages in this chat
400	SCORE_INVALID	The specified game score is invalid.
400	SEARCH_QUERY_EMPTY	The search query is empty
400	SEARCH_WITH_LINK_NOT_SUPPORTED	You cannot provide a search query and an invite link at the same time.
400	SECONDS_INVALID	The seconds interval is invalid
400	SEND_AS_PEER_INVALID	You can't send messages as the specified peer.
400	SEND_MESSAGE_MEDIA_INVALID	The message media is invalid
400	SEND_MESSAGE_TYPE_INVALID	The message type is invalid
400	SESSION_TOO_FRESH_X	You can't do this action because the current session was logged-in recently
400	SETTINGS_INVALID	Invalid settings were provided
400	SHA256_HASH_INVALID	The provided SHA256 hash is invalid
400	SHORTNAME_OCCUPY_FAILED	An error occurred when trying to register the short-name used for the sticker pack. Try a different name
400	SHORT_NAME_INVALID	The specified short name is invalid.
400	SHORT_NAME_OCCUPIED	The specified short name is already in use.
400	SLOWMODE_MULTI_MSGS_DISABLED	Slowmode is enabled, you cannot forward multiple messages to this group
400	SMS_CODE_CREATE_FAILED	An error occurred while creating the SMS code
400	SRP_ID_INVALID	Invalid SRP ID provided
400	SRP_PASSWORD_CHANGED	The password has changed
400	START_PARAM_EMPTY	The start parameter is empty
400	START_PARAM_INVALID	The start parameter is invalid
400	START_PARAM_TOO_LONG	The start parameter is too long
400	STICKERPACK_STICKERS_TOO_MUCH	There are too many stickers in this stickerpack, you can't add any more.
400	STICKERSET_INVALID	The requested sticker set is invalid
400	STICKERS_EMPTY	The sticker provided is empty
400	STICKERS_TOO_MUCH	There are too many stickers in this stickerpack, you can't add any more.
400	STICKER_DOCUMENT_INVALID	The sticker document is invalid
400	STICKER_EMOJI_INVALID	The sticker emoji is invalid
400	STICKER_FILE_INVALID	The sticker file is invalid
400	STICKER_GIF_DIMENSIONS	The specified video sticker has invalid dimensions.
400	STICKER_ID_INVALID	The provided sticker id is invalid
400	STICKER_INVALID	The provided sticker is invalid
400	STICKER_MIME_INVALID	The specified sticker MIME type is invalid.
400	STICKER_PNG_DIMENSIONS	The sticker png dimensions are invalid
400	STICKER_PNG_NOPNG	Stickers must be png files but the provided image was not a png
400	STICKER_TGS_NODOC	You must send the animated sticker as a document.
400	STICKER_TGS_NOTGS	A tgs sticker file was expected, but something else was provided
400	STICKER_THUMB_PNG_NOPNG	A png sticker thumbnail file was expected, but something else was provided
400	STICKER_THUMB_TGS_NOTGS	Incorrect stickerset TGS thumb file provided.
400	STICKER_VIDEO_BIG	The specified video sticker is too big.
400	STICKER_VIDEO_NODOC	You must send the video sticker as a document.
400	STICKER_VIDEO_NOWEBM	The specified video sticker is not in webm format.
400	STORIES_NEVER_CREATED	
400	STORIES_TOO_MUCH	You have hit the maximum active stories limit as specified by the story_expiring_limit_* client configuration parameters: you should buy a Premium subscription, delete an active story, or wait for the oldest story to expire.
400	STORY_ID_EMPTY	You specified no story IDs.
400	STORY_ID_INVALID	
400	STORY_NOT_MODIFIED	The new story information you passed is equal to the previous story information, thus it wasn't modified.
400	STORY_PERIOD_INVALID	The specified story period is invalid for this account.
400	STORY_SEND_FLOOD_MONTHLY_X	You've hit the monthly story limit as specified by the stories_sent_monthly_limit_* client configuration parameters: wait for the specified number of seconds before posting a new story.
400	STORY_SEND_FLOOD_WEEKLY_X	You've hit the weekly story limit as specified by the stories_sent_weekly_limit_* client configuration parameters: wait for the specified number of seconds before posting a new story.
400	SWITCH_PM_TEXT_EMPTY	The switch_pm.text field was empty.
400	TAKEOUT_INVALID	The takeout id is invalid
400	TAKEOUT_REQUIRED	The method must be invoked inside a takeout session
400	TASK_ALREADY_EXISTS	An email reset was already requested.
400	TEMP_AUTH_KEY_ALREADY_BOUND	The passed temporary key is already bound to another perm_auth_key_id.
400	TEMP_AUTH_KEY_EMPTY	The temporary auth key provided is empty
400	THEME_FILE_INVALID	Invalid theme file provided
400	THEME_FORMAT_INVALID	Invalid theme format provided
400	THEME_INVALID	Invalid theme provided
400	THEME_MIME_INVALID	You cannot create this theme because the mime-type is invalid
400	THEME_TITLE_INVALID	The specified theme title is invalid.
400	TITLE_INVALID	The specified stickerpack title is invalid.
400	TMP_PASSWORD_DISABLED	The temporary password is disabled
400	TMP_PASSWORD_INVALID	The temporary password is invalid
400	TOKEN_EMPTY	The specified token is empty.
400	TOKEN_INVALID	The provided token is invalid
400	TOKEN_TYPE_INVALID	The specified token type is invalid.
400	TOPICS_EMPTY	You specified no topic IDs.
400	TOPIC_CLOSED	This topic was closed, you can't send messages to it anymore.
400	TOPIC_CLOSE_SEPARATELY	The close flag cannot be provided together with any of the other flags.
400	TOPIC_DELETED	The specified topic was deleted.
